dataset,feature,horizon,horizon_bars,n,spearman_rho,spearman_p,pearson_r,pearson_p,abs_rho
FULL,Fast EMA (corr),24h,48,1579,0.497,0.0,0.5501,0.0,0.497
FULL,TKBY Zone3 Upper,24h,48,2178,-0.4804,0.0,-0.4513,0.0,0.4804
FULL,TKBY Zone2 Upper,24h,48,2178,-0.4739,0.0,-0.4465,0.0,0.4739
FULL,TKBY Zone1 Upper,24h,48,2178,-0.4694,0.0,-0.4437,0.0,0.4694
FULL,Fast EMA,24h,48,2178,0.4636,0.0,0.5081,0.0,0.4636
FULL,TKBY Basis,24h,48,2178,-0.4563,0.0,-0.4254,0.0,0.4563
FULL,TKBY Basis Center,24h,48,2178,-0.4563,0.0,-0.4254,0.0,0.4563
FULL,TKBY Zone1 Lower,24h,48,2178,-0.4219,0.0,-0.3972,0.0,0.4219
FULL,TKBY Zone2 Lower,24h,48,2178,-0.4152,0.0,-0.3917,0.0,0.4152
FULL,Slow EMA,24h,48,2178,0.4025,0.0,0.4591,0.0,0.4025
FULL,TKBY Zone3 Lower,24h,48,2178,-0.4044,0.0,-0.3815,0.0,0.4044
FULL,Fast EMA (corr),8h,16,1611,0.3379,0.0,0.3417,0.0,0.3379
FULL,Macro Risk (VIX),24h,48,2178,0.3263,0.0,0.3871,0.0,0.3263
FULL,VIX Short,24h,48,2178,0.2873,0.0,0.3121,0.0,0.2873
FULL,Slow EMA,8h,16,2210,0.2858,0.0,0.2789,0.0,0.2858
FULL,TKBY Zone2 Upper,8h,16,2210,-0.2826,0.0,-0.229,0.0,0.2826
FULL,TKBY Zone1 Upper,8h,16,2210,-0.2823,0.0,-0.2282,0.0,0.2823
FULL,TKBY Basis,8h,16,2210,-0.2822,0.0,-0.2257,0.0,0.2822
FULL,TKBY Basis Center,8h,16,2210,-0.2822,0.0,-0.2257,0.0,0.2822
FULL,TKBY Zone3 Upper,8h,16,2210,-0.2813,0.0,-0.2303,0.0,0.2813
FULL,Fast EMA,8h,16,2210,0.2648,0.0,0.2746,0.0,0.2648
FULL,Macro Infl (C-BEI),24h,48,2178,0.2502,0.0,0.2965,0.0,0.2502
FULL,TKBY Zone1 Lower,8h,16,2210,-0.2438,0.0,-0.2005,0.0,0.2438
FULL,TKBY Zone2 Lower,8h,16,2210,-0.2397,0.0,-0.1971,0.0,0.2397
FULL,TKBY Zone3 Lower,8h,16,2210,-0.2316,0.0,-0.1918,0.0,0.2316
FULL,Risk Oscillator,24h,48,2178,-0.2012,0.0,-0.2119,0.0,0.2012
FULL,Risk Signal,24h,48,2178,-0.198,0.0,-0.2104,0.0,0.198
FULL,Fast EMA (corr),4h,8,1619,0.225,0.0,0.2099,0.0,0.225
FULL,Slow EMA,4h,8,2218,0.185,0.0,0.1742,0.0,0.185
FULL,TKBY Zone2 Upper,4h,8,2218,-0.1791,0.0,-0.1387,0.0,0.1791
FULL,TKBY Zone1 Upper,4h,8,2218,-0.1784,0.0,-0.1382,0.0,0.1784
FULL,TKBY Zone3 Upper,4h,8,2218,-0.1782,0.0,-0.1393,0.0,0.1782
FULL,TKBY Basis,4h,8,2218,-0.178,0.0,-0.1363,0.0,0.178
FULL,TKBY Basis Center,4h,8,2218,-0.178,0.0,-0.1363,0.0,0.178
FULL,Fast EMA,4h,8,2218,0.1772,0.0,0.1688,0.0,0.1772
FULL,Infl Oscillator,24h,48,2178,-0.1699,0.0,-0.1723,0.0,0.1699
FULL,Infl Osc (Hist),24h,48,2178,-0.1699,0.0,-0.1723,0.0,0.1699
FULL,Infl Signal,24h,48,2178,-0.1673,0.0,-0.1693,0.0,0.1673
FULL,TKBY Zone1 Lower,4h,8,2218,-0.1635,0.0,-0.1246,0.0,0.1635
FULL,Model Activity Score (MAS),24h,48,2774,-0.1576,0.0,-0.1576,0.0,0.1576
FULL,TKBY Zone2 Lower,4h,8,2218,-0.159,0.0,-0.1218,0.0,0.159
FULL,β Pure (×1000),24h,48,2178,0.1556,0.0,0.1483,0.0,0.1556
FULL,TKBY Zone3 Lower,4h,8,2218,-0.1531,0.0,-0.1195,0.0,0.1531
FULL,Macro Risk (VIX),8h,16,2210,0.1512,0.0,0.1699,0.0,0.1512
FULL,Fast EMA (corr),2h,4,1623,0.1594,0.0,0.1428,0.0,0.1594
FULL,VIX Short,8h,16,2210,0.1438,0.0,0.1519,0.0,0.1438
FULL,Macro Infl (C-BEI),8h,16,2210,0.1362,0.0,0.1535,0.0,0.1362
FULL,MDLE.md_signed,24h,48,2774,0.1082,0.0,0.1082,0.0,0.1082
FULL,Macro Vol,24h,48,2701,-0.1073,0.0,-0.1073,0.0,0.1073
FULL,USDJPY Flash Z,8h,16,2210,-0.1063,0.0,-0.0997,0.0,0.1063
FULL,Risk Oscillator,8h,16,2210,-0.1034,0.0,-0.1014,0.0,0.1034
FULL,Risk Signal,8h,16,2210,-0.1023,0.0,-0.1008,0.0,0.1023
FULL,Slow EMA,2h,4,2222,0.0964,0.0,0.0899,0.0,0.0964
FULL,TKBY Zone2 Upper,2h,4,2222,-0.1298,0.0,-0.0999,0.0,0.1298
FULL,TKBY Zone1 Upper,2h,4,2222,-0.1295,0.0,-0.0997,0.0,0.1295
FULL,TKBY Zone3 Upper,2h,4,2222,-0.1288,0.0,-0.1002,0.0,0.1288
FULL,TKBY Basis,2h,4,2222,-0.1285,0.0,-0.0978,0.0,0.1285
FULL,TKBY Basis Center,2h,4,2222,-0.1285,0.0,-0.0978,0.0,0.1285
FULL,Fast EMA,2h,4,2222,0.0961,0.0,0.0899,0.0,0.0961
FULL,TKBY Zone1 Lower,2h,4,2222,-0.116,0.0,-0.0886,0.0,0.116
FULL,TKBY Zone2 Lower,2h,4,2222,-0.1136,0.0,-0.0868,0.0,0.1136
FULL,TKBY Zone3 Lower,2h,4,2222,-0.1089,0.0,-0.0835,0.0,0.1089
FULL,M-KF Peak +,8h,16,2803,0.0786,0.0,0.0786,0.0,0.0786
FULL,M-KF Peak −,8h,16,2803,-0.0786,0.0,-0.0786,0.0,0.0786
FULL,M-KF Velocity (peak channel),2h,4,2803,-0.0748,0.0,-0.0748,0.0,0.0748
FULL,Fast EMA (corr),1h,2,1625,0.1042,0.0,0.0926,0.0,0.1042
FULL,TKBY Zone1 Upper,1h,2,2224,-0.0831,0.0001,-0.0643,0.0001,0.0831
FULL,TKBY Zone2 Upper,1h,2,2224,-0.0831,0.0001,-0.0644,0.0001,0.0831
FULL,TKBY Zone3 Upper,1h,2,2224,-0.0819,0.0001,-0.0644,0.0001,0.0819
FULL,TKBY Basis,1h,2,2224,-0.0812,0.0001,-0.0624,0.0001,0.0812
FULL,TKBY Basis Center,1h,2,2224,-0.0812,0.0001,-0.0624,0.0001,0.0812
FULL,Macro Risk (VIX),4h,8,2218,0.0811,0.0001,-0.0001,0.9917,0.0811
FULL,USDJPY Flash Z,4h,8,2218,-0.0806,0.0001,-0.0743,0.0004,0.0806
FULL,Infl Oscillator,8h,16,2210,-0.0794,0.0002,-0.0766,0.0003,0.0794
FULL,Infl Osc (Hist),8h,16,2210,-0.0794,0.0002,-0.0766,0.0003,0.0794
FULL,Infl Signal,8h,16,2210,-0.0776,0.0003,-0.0748,0.0004,0.0776
FULL,VIX Flash Z,2h,4,2222,0.0497,0.019,0.0366,0.0851,0.0497
FULL,TKBY Zone1 Lower,1h,2,2224,-0.0747,0.0004,-0.0565,0.0076,0.0747
FULL,TKBY Zone2 Lower,1h,2,2224,-0.0731,0.0006,-0.0553,0.009,0.0731
FULL,TKBY Zone3 Lower,1h,2,2224,-0.0697,0.001,-0.0529,0.0124,0.0697
FULL,Macro Infl (C-BEI),4h,8,2218,0.0693,0.001,0.0758,0.0003,0.0693
FULL,M-KF Peak +,4h,8,2803,0.0653,0.0006,0.0653,0.0006,0.0653
FULL,M-KF Peak −,4h,8,2803,-0.0653,0.0006,-0.0653,0.0006,0.0653
FULL,VIX Short,4h,8,2218,0.0643,0.0024,0.0619,0.0035,0.0643
FULL,Macro Vol,8h,16,2701,-0.0614,0.0015,-0.0614,0.0015,0.0614
FULL,Risk Oscillator,4h,8,2218,-0.0598,0.0049,0.0002,0.993,0.0598
FULL,Risk Signal,4h,8,2218,-0.059,0.0055,-0.0001,0.9969,0.059
FULL,USDJPY Flash Z,2h,4,2222,-0.0572,0.0069,-0.0517,0.0146,0.0572
FULL,Slow EMA,1h,2,2224,0.0566,0.0076,0.0511,0.0163,0.0566
FULL,Fast EMA,1h,2,2224,0.0549,0.0098,0.0494,0.0198,0.0549
FULL,VIX Flash Z,8h,16,2210,0.0497,0.0193,0.0321,0.1345,0.0497
FULL,Infl Oscillator,4h,8,2218,-0.0476,0.0253,0.0026,0.9036,0.0476
FULL,Infl Osc (Hist),4h,8,2218,-0.0476,0.0253,0.0026,0.9036,0.0476
FULL,Infl Signal,4h,8,2218,-0.0466,0.0286,-0.0003,0.9877,0.0466
FULL,VIX Flash Z,1h,2,2224,0.047,0.0271,0.0334,0.1155,0.047
FULL,VIX Short,2h,4,2222,0.0456,0.0316,0.0403,0.0575,0.0456
FULL,M-KF Velocity (peak channel),4h,8,2803,-0.0425,0.0245,-0.0425,0.0245,0.0425
FULL,Macro Infl (C-BEI),2h,4,2222,0.0421,0.0477,0.046,0.0305,0.0421
FULL,USDJPY Flash Z,1h,2,2224,-0.0415,0.0503,0.0,0.0,0.0415
FULL,VIX Flash Z,4h,8,2218,0.0497,0.0193,0.0,,0.0497
FULL,Fast EMA (corr),30m,1,1626,0.0699,0.0045,0.0597,0.0161,0.0699
FULL,TKBY Zone2 Upper,30m,1,2225,-0.053,0.012,0.0,,0.053
FULL,TKBY Zone1 Upper,30m,1,2225,-0.053,0.012,0.0,,0.053
FULL,MDLE.md_lag_max,24h,48,2774,-0.0677,0.0004,-0.0677,0.0004,0.0677
FULL,MDLE.lag_lgd_pack,24h,48,2774,-0.0657,0.0007,-0.0657,0.0007,0.0657
FULL,MDLE.md_lag_min,24h,48,2774,-0.064,0.0011,-0.064,0.0011,0.064
FULL,macro3f,24h,48,2226,0.0508,0.0168,0.0508,0.0168,0.0508
FULL,DXY Flash Z,4h,8,2218,-0.0499,0.0183,-0.0448,0.0355,0.0499
FULL,MDLE.te_lag_comp,8h,16,2774,-0.0496,0.0096,-0.0496,0.0096,0.0496
FULL,VIX Long,24h,48,2178,0.0479,0.0251,0.0541,0.0117,0.0479
FULL,M-KF Peak +,2h,4,2803,0.0413,0.0286,0.0413,0.0286,0.0413
FULL,M-KF Peak −,2h,4,2803,-0.0413,0.0286,-0.0413,0.0286,0.0413
FULL,ES Flash Z,24h,48,2178,0.0432,0.0444,0.0369,0.0862,0.0432
FULL,DXY Flash Z,24h,48,2178,-0.0497,0.0206,-0.0448,0.0354,0.0497
FULL,Macro Vol,4h,8,2701,-0.0411,0.0327,-0.0411,0.0327,0.0411
FULL,M-KF Velocity (peak channel),8h,16,2803,-0.0388,0.0414,-0.0388,0.0414,0.0388
CORE,Slow EMA,24h,48,3952,0.2052,0.0,0.2052,0.0,0.2052
