datetime_utc,time,open,high,low,close,Growth Arrow,VIX,Global Bottom,Local Bottom,Infl Osc (Hist),Infl Oscillator,Infl Signal,Risk Oscillator,Risk Signal,Macro Infl (C-BEI),Macro Risk (VIX),Macro Base,β Pure (×1000),β Risk (×1000),Pure Hedge Signal,Risk Contamination,VIX Short,VIX Long,USDJPY Flash Z,ES Flash Z,VIX Flash Z
2026-04-22T07:30:00Z,1776843000,77855.1,78080,77805.6,77979.8,48,19.49,0,0,-18,-18,-19.06506548453902,45,45.028698525931084,-534.0147214910148,-584.1361970857722,-500,-64.21836606413383,-513.466117336328,0,0,20.55,21.2,0.47435469187492507,0.03803569024480412,-0.24282491052121102
2026-04-22T08:00:00Z,1776844800,77979.7,78186,77930,77931.7,48,19.49,0,0,-18,-18,-18.852052387631215,45,45.02295882074487,-534.3385027278144,-584.063548412128,-500,-64.21766664081616,-513.4654091634334,0,0,20.65,21.25,0.4536913504671855,-0.506967570419932,0.6467923998394735
2026-04-22T08:30:00Z,1776846600,77931.7,78037.9,77895.3,77970,48,19.49,0,0,-18,-18,-18.68164191010497,45,45.01836705659589,-534.6639839139963,-583.9909945832842,-500,-64.21720035860437,-513.4649370481704,0,0,20.63,21.23,1.0752260040076713,-0.04623550473504681,0.6546303120850747
2026-04-22T09:00:00Z,1776848400,77970,78127.4,77912.1,78119.2,48,19.49,0,0,-18,-18,-18.545313528083977,45,45.014693645276715,-534.9845407989595,-583.9342595215508,-500,-64.21688950379651,-513.4646223046617,0,0,20.55,21.18,1.3212105371954292,0.17326821556041486,0.12119953166130223
2026-04-22T09:30:00Z,1776850200,78119.3,78152.8,77935.1,77959.9,48,19.49,0,0,-17,-17,-18.23625082246718,44,44.811754916221375,-535.2983909263628,-583.8609167176746,-500,-64.21668226725794,-513.464412475656,0,0,20.65,21.25,0.5704069479963342,-0.5492632501015802,0.8199859053249013
2026-04-22T10:00:00Z,1776852000,77959.9,78037.7,77908.6,78027.4,48,19.49,0,0,-17,-17,-17.989000657973744,44,44.6494039329771,-535.6082810886364,-583.7929429798824,-500,-64.21654410956555,-513.4642725896521,0,0,20.61,21.22,0.4857590475016702,-0.2499355854823283,0.5356484316719619
2026-04-22T10:30:00Z,1776853800,78027.4,78151,78025.3,78117.8,48,19.49,0,0,-17,-17,-17.791200526378994,44,44.51952314638168,-535.9242435183287,-583.7456284257211,-500,-64.21645200443729,-513.4641793323162,0,0,20.55,21.2,-0.7015766203155036,0.19548417510389077,-0.5671960039694849
2026-04-22T11:00:00Z,1776855600,78117.8,78280,78054.5,78280,48,19.49,0,0,-17,-17,-17.632960421103196,44,44.415618517105344,-536.2321180285196,-583.6614677845656,-500,-64.21639060101846,-513.464117160759,0,0,20.65,21.23,-0.9351755000087556,-0.16734524052582023,0.2500100228341484
2026-04-22T11:30:00Z,1776857400,78280,78365.8,78122.9,78263.2,48,19.49,0,0,-17,-17,-17.506368336882556,44,44.33249481368428,-536.5224886723124,-583.5728081910676,-500,-64.2163496654059,-513.4640757130542,0,0,20.6,21.17,-0.7323074042054849,-0.30823932937020454,0.4458849065377447
2026-04-22T12:00:00Z,1776859200,78263.2,78490.8,78105.8,78142.7,48,19.49,0,0,-16,-16,-17.205094669506046,44,44.26599585094742,-536.8150702912975,-583.5102312754202,-500,-64.21632237499753,-513.4640480812509,0,0,20.54,21.16,-0.6700340850920781,0.719482193281187,-0.6942022664881773
2026-04-22T12:30:00Z,1776861000,78142.8,78298.3,78060,78196.6,48,19.49,0,0,-16,-16,-16.964075735604837,44,44.21279668075793,-537.0863571228462,-583.4360681347356,-500,-64.21630418139195,-513.4640296600488,0,0,20.62,21.22,0.19025805967084342,-0.10209343725397768,0.1428338002100074
2026-04-22T13:00:00Z,1776862800,78196.6,78462.2,78120.1,78426.8,48,19.49,0,0,-16,-16,-16.77126058848387,44,44.17023734460635,-537.3665621317818,-583.3898301028712,-500,-64.21629205232156,-513.4640173792473,0,0,20.45,21.1,0.12797188646540567,0.7640723799254945,-0.6446620825417287
2026-04-22T13:30:00Z,1776864600,78426.9,78799,78232.9,78794.5,48,19.49,0,0,-16,-16,-16.617008470787095,44,44.136189875685076,-536.6926713003006,-583.3161307553556,-500,-64.21628396627463,-513.4640091920464,0,0,20.55,21.15,-0.5406722385531183,1.0769918611293814,-0.64648508243518
2026-04-22T14:00:00Z,1776866400,78794.4,79142.8,78639.3,78958.3,48,19.49,0,0,-15,-15,-16.293606776629677,44,44.108951900548064,-536.0042013131508,-583.2941789950278,-500,-64.21627857557668,-513.4640037339125,0,0,20.5,21.2,-0.44824602775709643,1.5347838074930702,-0.655990346499545
2026-04-22T14:30:00Z,1776868200,78958.4,79056,78511.1,78996.8,48,19.49,0,0,-15,-15,-16.03488542130374,44,44.08716152043845,-534.9758716666652,-583.2182233068653,-500,-64.21627498177806,-513.4640000951565,0,0,20.65,21.25,0.7672356762046092,0.6657431988011285,0.8477860035749553
2026-04-22T15:00:00Z,1776870000,78996.7,79100,78800.3,79028.4,48,19.49,0,0,-15,-15,-15.827908337042993,44,44.06972921635076,-533.9502341306662,-583.1048955525368,-500,-64.2162725859123,-513.4639976693192,0,0,20.73,21.26,0.08497442999314778,1.4758899341722762,0.8275986927369889
2026-04-22T15:30:00Z,1776871800,79028.4,79370,78966,79234.3,48,19.49,0,0,-15,-15,-15.662326669634394,43,43.855783373080605,-532.8159820510472,-582.9845632286525,-500,-64.21627098866846,-513.4639960520942,0,0,20.86,21.38,1.4302104287908908,0.28309860389333286,2.8888385460322366
2026-04-22T16:00:00Z,1776873600,79234.3,79444,78838.8,78888.3,48,19.49,0,0,-8,-8,-14.129861335707515,45,44.08462669846448,-531.7369569611932,-582.8746374706038,-500,-49.769859605918256,-508.40252144068774,0,0,20.85,21.39,1.9403080007300602,-0.2573371153118607,2.039061065968889
2026-04-22T16:30:00Z,1776875400,78888.2,78993.6,78586.7,78705.1,48,19.49,0,0,-4,-4,-12.103889068566012,47,44.66770135877159,-530.8088180334453,-582.7645979549652,-500,-40.1389186840848,-505.02820503308345,0,0,20.85,21.39,1.8368998150117073,-1.2781620562433582,2.3221496603264025
2026-04-22T17:00:00Z,1776877200,78705.1,78998.6,78660,78797.7,48,19.49,0,0,-1,-1,-9.88311125485281,48,45.33416108701727,-529.8127301527485,-582.6775962121695,-500,-33.718291402862484,-502.77866076134717,0,0,20.7,21.28,0.22431252859514528,-0.05125652343535315,0.2883083727807225
2026-04-22T17:30:00Z,1776879000,78797.8,78961.2,78666,78869.8,48,19.49,0,0,1,1,-7.706489003882249,48,45.867328869613814,-528.9435439424451,-582.5466947639154,-500,-29.437873215380947,-501.2789645801896,0,0,20.8,21.3,0.039648427667137505,-0.22634261468866618,0.4286814928070034
2026-04-22T18:00:00Z,1776880800,78869.8,78959.9,78783.7,78863.1,48,19.49,0,0,3,3,-5.565191203105799,48,46.29386309569105,-528.0791836438924,-582.4489214648918,-500,-26.584261090393248,-500.27916712608464,0,0,20.71,21.27,-0.506622416760622,-0.20528624099962725,-1.0232888645736382
2026-04-22T18:30:00Z,1776882600,78863.1,79129.8,78811.1,78989.5,48,19.49,0,0,4,4,-3.6521529624846396,48,46.63509047655284,-527.2198363003072,-582.3451054885046,-500,-24.68185300706812,-499.61263549001467,0,0,20.75,21.3,-0.3397947388683545,0.27355322538246307,-0.6971161206097864
2026-04-22T19:00:00Z,1776884400,78989.5,79020,78654.6,78979.9,48,19.49,0,0,6,6,-1.7217223699877118,48,46.90807238124227,-526.3715108598386,-582.2856265971939,-500,-19.723509407409303,-500.4959178641283,0,0,20.65,21.28,-0.5523219263824497,1.0615182302676003,-1.3632349060721578
2026-04-22T19:30:00Z,1776886200,78979.9,79009.4,78716.4,78791.3,48,19.49,0,0,8,8,0.22262210400983062,48,47.12645790499381,-526.1135571670411,-582.263291615586,-500,-16.417947007636755,-501.08477278020405,0,0,20.65,21.35,0.3021348263103334,0.7627983442917946,-0.3629693138525698
2026-04-22T20:00:00Z,1776888000,78791.3,78868.9,78419.7,78547.4,48,18.91,0,0,9,9,1.9780976832078645,47,47.10116632399505,-525.8585705014657,-582.2137166380742,-500,-14.214238741121726,-501.47734272425447,0,0,20.65,21.3,0.10488838567854207,0.29402781429364483,-1.0155161943178495
2026-04-22T20:30:00Z,1776889800,78547.4,78570,78360,78395.8,48,18.91,0,0,10,10,3.5824781465662916,47,47.08093305919604,-525.6065395333889,-582.186146793064,-500,-12.745099896778374,-501.7390560202881,0,0,20.6,21.29,-0.4677957354077915,0.7978873775076615,-0.7386304265672511
2026-04-22T21:00:00Z,1776891600,78395.8,78567.7,78361.4,78535.5,48,18.91,0,0,10,10,4.865982517253033,47,47.06474644735683,-525.357452597811,-582.1580895326582,-500,-11.76567400054947,-502.67555399983974,1,0,20.6,21.29,-0.6536952359085474,0.6601327472986609,-0.9833880525497132
2026-04-22T21:30:00Z,1776893400,78535.4,78788.3,78535.4,78713.8,48,18.91,0,0,11,11,6.092786013802426,46,46.851797157885464,-525.1112977078229,-582.1295486686236,-500,-11.112723403063535,-503.2998859862076,0,0,20.6,21.29,-0.6426062537489465,0.04497717850958815,-0.3162950435989236
2026-04-22T22:00:00Z,1776895200,78713.9,78784,78479.2,78488.7,48,18.91,0,0,11,11,7.074228811041941,46,46.681437726308374,-524.847697536774,-582.0781251315874,-500,-10.677423004739579,-503.7161073104527,0,0,20.65,21.3,-0.729254957582663,-0.8027359912119735,0.004457697291325923
2026-04-22T22:30:00Z,1776897000,78488.7,78580,78403.2,78552.1,48,18.91,0,0,11,11,7.8593830488335525,46,46.5451501810467,-524.5691875629224,-582.0155785069467,-500,-10.387222739190275,-503.9935881932828,0,0,20.65,21.28,-0.39330617987309224,-0.23284200588414386,-0.010471959153431817
2026-04-22T23:00:00Z,1776898800,78552.1,78559.2,78140.1,78294.8,48,18.91,0,0,12,12,8.687506439066842,46,46.43612014483736,-524.3000395948773,-581.952791483903,-500,-10.193755895490737,-504.17857544850284,0,0,20.65,21.28,-0.052080111239902534,-0.1874728416192622,0.31525235530832396
2026-04-22T23:30:00Z,1776900600,78294.8,78295.1,78111.6,78139.8,48,18.91,0,0,12,12,9.350005151253473,45,46.14889611586989,-524.0320422554242,-581.8952084427797,-500,-10.064777999691048,-504.3019002853163,0,0,20.65,21.29,0.21882003189542867,-0.1781997969417046,0.2976901636396587
2026-04-23T00:00:00Z,1776902400,78139.7,78459.9,77526.8,78406.4,48,18.91,0,0,12,12,9.880004121002779,45,45.91911689269591,-523.8013554273392,-581.8727374210675,-500,-9.978792735824587,-504.38411684319186,0,0,20.5,21.2,-0.2675833900158521,-0.8971842253907834,-0.7715945124917745
2026-04-23T00:30:00Z,1776904200,78406.3,78534.9,78221.5,78389.9,48,18.91,0,0,12,12,10.304003296802223,45,45.73529351415673,-523.5900855378675,-581.793222596669,-500,-9.92146922658028,-504.43892788177556,0,0,20.6,21.2,-1.2832024099254,-0.45285704148935507,-0.4112654584240858
2026-04-23T01:00:00Z,1776906000,78390,78445.2,78015,78047.2,48,18.91,0,0,12,12,10.643202637441778,45,45.588234811325385,-523.3315734221504,-581.7127431385487,-500,-9.883253553750741,-504.4754685741647,0,0,20.65,21.25,-0.7279934445866728,-1.1850667681613503,-0.05329104024702489
2026-04-23T01:30:00Z,1776907800,78047.1,78398.8,78026.7,78311,48,18.91,0,0,12,12,10.914562109953422,45,45.47058784906031,-523.0619739977672,-581.632104741454,-500,-9.85777643853105,-504.4998290357575,0,0,20.65,21.25,-0.8024201919138044,-1.5598178502953337,-0.049733310987162466
2026-04-23T02:00:00Z,1776909600,78310.9,78320,77939.7,77993.6,48,18.91,0,0,12,12,11.131649687962739,45,45.376470279248245,-522.7711191087719,-581.5505042015836,-500,-9.840791695051255,-504.51606934348604,0,0,20.7,21.3,-0.08928963093434449,-1.9109443102538963,0.30504307328082236
2026-04-23T02:30:00Z,1776911400,77993.7,78079.1,77715,77897.6,48,18.91,0,0,13,13,11.505319750370191,45,45.3011762233986,-522.4465724981876,-581.4687494388708,-500,-9.829468532731392,-504.526896215305,0,0,20.7,21.3,0.7207039250605496,-1.3927879172939943,1.3506531554158545
2026-04-23T03:00:00Z,1776913200,77897.6,77991.7,77588.2,77649.9,48,18.91,0,0,13,13,11.804255800296152,45,45.24094097871888,-522.1369726463148,-581.3566532887642,-500,-9.821919757851482,-504.53411412985105,0,0,20.85,21.4,1.2900303146608447,-2.045940363824207,1.6533098467555438
2026-04-23T03:30:00Z,1776915000,77649.9,77723.1,77410.7,77704.3,48,18.91,0,0,13,13,12.043404640236922,45,45.192752782975106,-521.8324137251385,-581.2154394367018,-500,-9.816887241264878,-504.53892607288174,0,0,20.92,21.42,0.8333252637780275,-1.178550943361108,1.7401490507969266
2026-04-23T04:00:00Z,1776916800,77704.3,77902.6,77627.4,77757.6,48,18.91,0,0,13,13,12.234723712189538,44,44.95420222638008,-521.534135142542,-581.1041031478039,-500,-9.813532230207139,-504.54213403490223,1,0,20.8,21.35,0.8310532150864509,-0.6238926229583915,0.9035777717292159
2026-04-23T04:30:00Z,1776918600,77757.6,77912,77757.6,77871.6,48,18.91,0,0,13,13,12.387778969751631,44,44.76336178110407,-521.2368053218986,-581.0048118136972,-500,-9.811295556168648,-504.54427267624914,0,0,20.75,21.32,0.0824636643823888,0.046827030384429515,0.2176858811454315
2026-04-23T05:00:00Z,1776920400,77871.5,78000,77838.4,77854.9,48,18.91,0,0,13,13,12.510223175801304,44,44.610689424883255,-520.9464954665634,-580.8932462903224,-500,-9.809804440142988,-504.54569843714717,0,0,20.8,21.35,0.08771308016833677,0.14977865078479605,0.5568544825972679
2026-04-23T05:30:00Z,1776922200,77854.9,78093.2,77724.4,77991.9,48,18.91,0,0,13,13,12.608178540641044,44,44.4885515399066,-520.6798773268603,-580.7823665527562,-500,-9.808810362792547,-504.5466489444125,0,0,20.75,21.3,-0.2302831061958088,1.029938369999954,-0.7883994209805103
2026-04-23T06:00:00Z,1776924000,77992,78310.1,77992,78238.1,48,18.91,0,0,14,14,12.886542832512834,44,44.39084123192528,-520.4147504518128,-580.7306086510638,-500,-9.80814764455892,-504.54728261592265,0,0,20.65,21.3,0.20414881084609598,1.2028203170064142,-1.8708978693406861
2026-04-23T06:30:00Z,1776925800,78238.1,78300,78052.5,78167,48,18.91,0,0,14,14,13.109234266010267,44,44.312672985540225,-520.1559266892807,-580.6480622600835,-500,-9.807705832403169,-504.54770506359614,0,0,20.75,21.35,0.722085537079942,0.8957235367807581,-0.4180680684459616
2026-04-23T07:00:00Z,1776927600,78167,78210.9,78068.8,78112.9,48,18.91,0,0,14,14,13.287387412808213,44,44.25013838843218,-519.8833258823275,-580.5721585453196,-500,-9.807411290966002,-504.5479866953785,0,0,20.69,21.3,0.5104335227036964,0.599908292824295,-0.4806920656264075
2026-04-23T07:30:00Z,1776929400,78113,78135.9,77925.9,78009.1,48,18.91,0,0,14,14,13.42990993024657,44,44.20011071074574,-519.6468866615195,-580.4967647336324,-500,-9.80721493000789,-504.5481744499,0,0,20.65,21.26,-0.08219806156309167,0.8352306794196785,-1.0558617529875223
2026-04-23T08:00:00Z,1776931200,78009.1,78142.2,77866.3,77941.8,48,18.91,0,0,14,14,13.543927944197256,44,44.16008856859659,-519.4035983685657,-580.4261474260289,-500,-9.807084022702481,-504.54829961958103,0,0,20.7,21.32,0.6275693578692514,0.3375093674822449,-0.38943180409262373
