entity_id,indicator_name,csv_column,value_type,warmup_bars,first_valid_date,repainting_risk,exported,notes
Pb4Rzx,Price vs VIX — Global Bottoms Strategy,VIX Short,price level,99,2024-01-03,LOW,yes,
Pb4Rzx,Price vs VIX — Global Bottoms Strategy,VIX Long,price level,99,2024-01-03,LOW,yes,
Pb4Rzx,Price vs VIX — Global Bottoms Strategy,Slow EMA,price EMA,99,2024-01-03,LOW,yes,
Pb4Rzx,Price vs VIX — Global Bottoms Strategy,Fast EMA,price EMA,9,2024-01-01,LOW,yes,
Pb4Rzx,Price vs VIX — Global Bottoms Strategy,Fast EMA (corr),price EMA corr,11555,2025-01-28,LOW,yes,large warmup gap
Pb4Rzx,Price vs VIX — Global Bottoms Strategy,Global Bottom,boolean event,22072,2025-04-04,LOW,yes,sparse
Pb4Rzx,Price vs VIX — Global Bottoms Strategy,Local Bottom,boolean event,962,2024-01-21,LOW,yes,sparse
Pb4Rzx,Price vs VIX — Global Bottoms Strategy,Growth Arrow,boolean event,22072,2025-04-04,LOW,yes,sparse
VRzezH,Inflation Hedge Decomposition [Dual Oscillator],β Pure (×1000),beta ×1000,80,2024-01-02,UNKNOWN,yes,
VRzezH,Inflation Hedge Decomposition [Dual Oscillator],β Risk (×1000),beta ×1000,80,2024-01-02,UNKNOWN,yes,
VRzezH,Inflation Hedge Decomposition [Dual Oscillator],Infl Oscillator,oscillator,1605,2024-02-03,UNKNOWN,yes,
VRzezH,Inflation Hedge Decomposition [Dual Oscillator],Infl Signal,signal,1605,2024-02-03,UNKNOWN,yes,
VRzezH,Inflation Hedge Decomposition [Dual Oscillator],Infl Osc (Hist),histogram,1605,2024-02-03,UNKNOWN,yes,
VRzezH,Inflation Hedge Decomposition [Dual Oscillator],Risk Oscillator,oscillator,1605,2024-02-03,UNKNOWN,yes,
VRzezH,Inflation Hedge Decomposition [Dual Oscillator],Risk Signal,signal,1605,2024-02-03,UNKNOWN,yes,
VRzezH,Inflation Hedge Decomposition [Dual Oscillator],Pure Hedge Signal,categorical,1605,2024-02-03,UNKNOWN,yes,
VRzezH,Inflation Hedge Decomposition [Dual Oscillator],Risk Contamination,level,1605,2024-02-03,UNKNOWN,yes,
VRzezH,Inflation Hedge Decomposition [Dual Oscillator],Mean Reversion Setup,boolean,1605,2024-02-03,UNKNOWN,yes,
VRzezH,Inflation Hedge Decomposition [Dual Oscillator],Dual Tailwind,boolean,1605,2024-02-03,UNKNOWN,yes,
VRzezH,Inflation Hedge Decomposition [Dual Oscillator],Dual Headwind,boolean,1605,2024-02-03,UNKNOWN,yes,
VRzezH,Inflation Hedge Decomposition [Dual Oscillator],Factor Divergence,boolean,1605,2024-02-03,UNKNOWN,yes,
VRzezH,Inflation Hedge Decomposition [Dual Oscillator],Macro Midline,oscillator,1605,2024-02-03,UNKNOWN,yes,
VRzezH,Inflation Hedge Decomposition [Dual Oscillator],Macro +50,level,1605,2024-02-03,UNKNOWN,yes,
VRzezH,Inflation Hedge Decomposition [Dual Oscillator],Macro -50,level,1605,2024-02-03,UNKNOWN,yes,
VRzezH,Inflation Hedge Decomposition [Dual Oscillator],Macro Infl (C-BEI),macro component,1605,2024-02-03,UNKNOWN,yes,
VRzezH,Inflation Hedge Decomposition [Dual Oscillator],Macro Risk (VIX),macro component,1605,2024-02-03,UNKNOWN,yes,
VRzezH,Inflation Hedge Decomposition [Dual Oscillator],Macro Base,macro component,1605,2024-02-03,UNKNOWN,yes,
VZWcOf,VIX Contango Slope — Predictive Edition,TKBY Basis,contango basis,41627,2026-05-17,UNKNOWN,yes,3M indicator
VZWcOf,VIX Contango Slope — Predictive Edition,TKBY Zone1 Upper,zone level,41627,2026-05-17,UNKNOWN,yes,3M indicator
VZWcOf,VIX Contango Slope — Predictive Edition,TKBY Zone1 Lower,zone level,41627,2026-05-17,UNKNOWN,yes,3M indicator
VZWcOf,VIX Contango Slope — Predictive Edition,TKBY Zone2 Upper,zone level,41627,2026-05-17,UNKNOWN,yes,3M indicator
VZWcOf,VIX Contango Slope — Predictive Edition,TKBY Zone2 Lower,zone level,41627,2026-05-17,UNKNOWN,yes,3M indicator
VZWcOf,VIX Contango Slope — Predictive Edition,TKBY Zone3 Upper,zone level,41627,2026-05-17,UNKNOWN,yes,3M indicator
VZWcOf,VIX Contango Slope — Predictive Edition,TKBY Zone3 Lower,zone level,41627,2026-05-17,UNKNOWN,yes,3M indicator
VZWcOf,VIX Contango Slope — Predictive Edition,TKBY Basis Center,center level,41627,2026-05-17,UNKNOWN,yes,3M indicator
VZWcOf,VIX Contango Slope — Predictive Edition,Macro Vol Baseline,vol baseline,41730,2026-05-19,UNKNOWN,yes,3M indicator
VZWcOf,VIX Contango Slope — Predictive Edition,Macro Vol,vol regime,41730,2026-05-19,UNKNOWN,yes,3M indicator
VZWcOf,VIX Contango Slope — Predictive Edition,Model Activity Score (MAS),activity score,41730,2026-05-19,UNKNOWN,yes,3M indicator
VZWcOf,VIX Contango Slope — Predictive Edition,H_total (x100),total hedge,0,N/A,UNKNOWN,yes,ALL NULL in export
MCkg7B,Macro Shock: Flash Detection [Perplexity],USDJPY Flash Z,z-score,104,2024-01-03,NONE,yes,closed-bar only
MCkg7B,Macro Shock: Flash Detection [Perplexity],ES Flash Z,z-score,104,2024-01-03,NONE,yes,closed-bar only
MCkg7B,Macro Shock: Flash Detection [Perplexity],VIX Flash Z,z-score,104,2024-01-03,NONE,yes,closed-bar only
MCkg7B,Macro Shock: Flash Detection [Perplexity],DXY Flash Z,z-score,104,2024-01-03,NONE,yes,closed-bar only
MCkg7B,Macro Shock: Flash Detection [Perplexity],Extreme Up Vel (CompZ - 3 bars),boolean event,1004,2024-04-10,NONE,yes,percentile-based
MCkg7B,Macro Shock: Flash Detection [Perplexity],Extreme Down Vel (CompZ - 3 bars),boolean event,1004,2024-04-10,NONE,yes,percentile-based
MCkg7B,Macro Shock: Flash Detection [Perplexity],composite_z [NOT EXPORTED],z-score internal,104,2024-01-03,NONE,no,mean of 4 flash Z
MCkg7B,Macro Shock: Flash Detection [Perplexity],sync_score_bear/bull [NOT EXPORTED],int 0-5 internal,104,2024-01-03,NONE,no,multi-market sync count
CatTZA,Crypto Macro 3-Factor Expectations v0.4.9,macro3f,3-factor score,41429,2026-05-13,UNKNOWN,yes,3M indicator
CatTZA,Crypto Macro 3-Factor Expectations v0.4.9,M-KF Velocity (peak channel),Kalman velocity,41628,2026-05-17,UNKNOWN,yes,3M indicator
CatTZA,Crypto Macro 3-Factor Expectations v0.4.9,M-KF Peak +,Kalman peak,41628,2026-05-17,UNKNOWN,yes,3M indicator
CatTZA,Crypto Macro 3-Factor Expectations v0.4.9,M-KF Peak −,Kalman peak,41628,2026-05-17,UNKNOWN,yes,3M indicator
CatTZA,Crypto Macro 3-Factor Expectations v0.4.9,MoCS z,MoCS z-score,42205,2026-05-29,UNKNOWN,yes,3M — binding constraint
CatTZA,Crypto Macro 3-Factor Expectations v0.4.9,OSGD LONG,OSGD signal,42205,2026-05-29,UNKNOWN,yes,3M indicator
CatTZA,Crypto Macro 3-Factor Expectations v0.4.9,OSGD SHORT,OSGD signal,42205,2026-05-29,UNKNOWN,yes,3M indicator
CatTZA,Crypto Macro 3-Factor Expectations v0.4.9,OSGD A LONG,adjusted OSGD,42205,2026-05-29,UNKNOWN,yes,3M indicator
CatTZA,Crypto Macro 3-Factor Expectations v0.4.9,OSGD A SHORT,adjusted OSGD,42205,2026-05-29,UNKNOWN,yes,3M indicator
CatTZA,Crypto Macro 3-Factor Expectations v0.4.9,MDLE.md_signed,signed momentum diff,41627,2026-05-17,UNKNOWN,yes,lag-compensated
CatTZA,Crypto Macro 3-Factor Expectations v0.4.9,MDLE.md_impl_mag,implied magnitude,41627,2026-05-17,UNKNOWN,yes,lag-compensated
CatTZA,Crypto Macro 3-Factor Expectations v0.4.9,MDLE.md_lag_min,lag min,41627,2026-05-17,UNKNOWN,yes,diagnostic
CatTZA,Crypto Macro 3-Factor Expectations v0.4.9,MDLE.md_lag_max,lag max,41627,2026-05-17,UNKNOWN,yes,diagnostic
CatTZA,Crypto Macro 3-Factor Expectations v0.4.9,LGD.active,lag gate bool,41627,2026-05-17,UNKNOWN,yes,diagnostic
CatTZA,Crypto Macro 3-Factor Expectations v0.4.9,MDLE.lag_lgd_pack,lag pack,41627,2026-05-17,UNKNOWN,yes,diagnostic
CatTZA,Crypto Macro 3-Factor Expectations v0.4.9,MDLE.te_lag_comp,TE lag comp,41627,2026-05-17,UNKNOWN,yes,diagnostic
CatTZA,Crypto Macro 3-Factor Expectations v0.4.9,Macro Velocity (vis),velocity vis,0,N/A,UNKNOWN,yes,ALL NULL
CatTZA,Crypto Macro 3-Factor Expectations v0.4.9,Diag: Grab → Up,grab diag,0,N/A,UNKNOWN,yes,ALL ZERO
CatTZA,Crypto Macro 3-Factor Expectations v0.4.9,Diag: Grab → Down,grab diag,0,N/A,UNKNOWN,yes,ALL ZERO
CatTZA,Crypto Macro 3-Factor Expectations v0.4.9,DIAG.REGIME_A,regime diag,0,N/A,UNKNOWN,yes,ALL NULL
CatTZA,Crypto Macro 3-Factor Expectations v0.4.9,DIAG.REGIME_B,regime diag,0,N/A,UNKNOWN,yes,ALL NULL
CatTZA,Crypto Macro 3-Factor Expectations v0.4.9,DIAG.REGIME_C,regime diag,0,N/A,UNKNOWN,yes,ALL NULL
CatTZA,Crypto Macro 3-Factor Expectations v0.4.9,DIAG.REGIME_D,regime diag,0,N/A,UNKNOWN,yes,ALL NULL
